@projectCategoryName,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Number_val,Title_val,EndItemSupportedModel_val,CostElementList_Construction_PriorYear_TotalCost_val,CostElementList_Construction_CurrentYear_TotalCost_val,CostElementList_Construction_BudgetYearOneBase_TotalCost_val,CostElementList_Construction_BudgetYearOneOCO_TotalCost_val,CostElementList_Construction_BudgetYearOne_TotalCost_val,CostElementList_Equipment_PriorYear_TotalCost_val,CostElementList_Equipment_CurrentYear_TotalCost_val,CostElementList_Equipment_BudgetYearOneBase_TotalCost_val,CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val,CostElementList_Equipment_BudgetYearOne_TotalCost_val,CostElementList_EquipmentInstallation_PriorYear_TotalCost_val,CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val,CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val,CostElementList_ContractorSupport_PriorYear_TotalCost_val,CostElementList_ContractorSupport_CurrentYear_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val,CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val,CostElementList_Other_BudgetYearOneBase_TotalCost_val,CostElementList_Other_BudgetYearOneOCO_TotalCost_val,CostElementList_Other_BudgetYearOne_TotalCost_val,CostElementList_Other_PriorYear_TotalCost_val,CostElementList_Other_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneBase_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOneOCO_TotalCost_val,CostElementList_CorpsOfEngineersSupport_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOneBase_TotalCost_val,CostElementList_TotalFacilityProject_BudgetYearOne_TotalCost_val,CostElementList_TotalFacilityProject_CurrentYear_TotalCost_val,MilestoneList_FinalDesignComplete_val,MilestoneList_InitialProjectAward_val,MilestoneList_FinalProjectAward_val,MilestoneList_EquipmentInstallationComplete_val,MilestoneList_ConstructionComplete_val,MilestoneList_ProveOutBegins_val,MilestoneList_ProveOutComplete_val,MilestoneList_ConceptDesignComplete_val,NarrativeExplanation_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Production Support","6.168","3.313","","","","51X3013","Modernization of Flexible Machining Cell","120mm Mortar, M1, M107, M795, M110","","","","","","4","2.1","","","","0.443","0.82","","","","0.154","0.11","","","","0.471","","","","","","","","1.1","0.283","","","","","","","","","2014-03","2013-12","2014-06","2015-01","","2015-03","2015-03","","Procurement dollars in the amount of $3.313 million support effort to modernize various equipment utilized throughout the flexible machining cell at Scranton Army Ammunition Plant.  The effort will design and build a new centering machine, along with upgrading three existing centering machines.  The relay logic control system will be replaced with a Programmable Logic Controller (PLC).  Numerous pieces of equipment supporting the projectile metal parts production lines will be upgraded, allowing multiple operations to be performed simultaneously.  This modernization effort will result in energy savings, reduce maintenance costs due to leaks and contamination, and make troubleshooting safer due to the separation of high and low voltage components.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","1-0284d0426c3a54ed4aa609a506053c66a6e7de0150ce84f8eece09595d7ef493","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.107","","","","5143550","Rehabilitate Subway Floor and Arches","120mm Mortars, M1, M107, M110, M795, MK64","","0.85","","","","","","","","","","","","","","","0.101","","","","","","","","","","","","","0.156","","","","","","","","","2014-04","2014-04","2014-04","","2014-11","2014-11","2014-11","","Procurement dollars in the amount of $1.107 million support effort to rehabilitate subway floors and arches at Scranton Army Ammunition Plant.  The building infrastructures experience water leaks, which causes rebar to rust and sections of concrete to break and fall into active work areas.  This project will perform structural repairs to avoid production interruption and water damage.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","2-a2da864a5bf13bbeca8e76c8fa3494a22770a861c452472420b630f0bf7ea1ca","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","1.672","","","","","5133282","Upgrade Subway Shotblast Area","120mm Mortar, M1, M107, M110, M795, MK64","","","","","","1.2","","","","","0.237","","","","","0.031","","","","","0.129","","","","","","","","0.075","","","","","","","","","","2013-09","2013-06","2013-06","2014-11","","2014-11","2014-11","","Procurement dollars in the amount of $1.672 million support effort to modernize the subway shotblast area for the production of large-caliber metal parts at Scranton Army Ammunition Plant.  The shotblast area was constructed over 50 years ago and has exceeded its useful life.  This project will result in reduced maintenance costs and decreased production downtime.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","3-f1e1ba728efe32211d3d9e3f5332ab0419fe62f90d9fd4ccdb9a33d6e3982222","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.778","","","","5143702","Replace Waste Treatment Facility, Production Shop","120mm Mortars, M1, M795","","0.1","","","","","0.57","","","","","0.089","","","","","0.019","","","","","","","","","","","","","","","","","","","","","","2014-02","2014-06","2014-06","2014-09","2014-09","2014-09","2014-10","","Procurement dollars in the amount of $0.778 million support the replacement of the waste treatment facility at Scranton Army Ammunition Plant (AAP).  The current waste treatment facility is approximately 20 years old and replacement parts are difficult to produce or not available.  The sand filter is ineffective which reduces the system efficiency.  A new sewer permit has reduced the effluent limit for Zinc, and the existing system has problems maintaining proper levels when less than three bonderizer systems are running.  This new treatment system will allow Scranton AAP to remain in compliance with the new sewer permit and avoid fines or penalties.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","4-d6fb1ebbebfee6ed29dfc58a7c3e9505960c86102e6e145e7df222958de78eae","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.598","","","","5143707","Quick Die Change for Press Lines","120mm Mortars, M1, M795","","","","","","","1.111","","","","","0.331","","","","","0.033","","","","","","","","0.123","","","","","","","","","","","","","","2014-05","2014-06","2014-06","2014-12","","2014-12","2015-01","","Procurement dollars in the amount of $1.598 million support the procurement and installation of quick die change tooling handling systems on three forge press lines at Scranton Army Ammunition Plant.  This quick die change system will improve the plant's ability to produce smaller quantity lots in a cost effective manner and improve operational safety.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","5-5609c1eb58f0222e23078b43a5c17d239cc156870b4a7c61ff74583083ce8a9b","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.75","","","","5143719","Saw Area Transformation","120mm Mortars, 5”/54, M1, M107, M110, M795","","","","","","","0.53","","","","","0.15","","","","","0.02","","","","","","","","","","","","","0.05","","","","","","","","","2014-05","2014-05","2014-05","2015-03","","2015-03","2015-03","","Procurement dollars in the amount of $0.750 million support the replacement of metal saws at Scranton Army Ammunition Plant.  Replacement of the metal saws will decrease maintenance and tooling costs, decrease electrical and raw material costs and increase productivity.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","6-846622fdd684efb23fd72907cdc8480e725917a3e01f8fc685281229bf30b53c","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.66","","","","5143720","Upgrade Nitrogen Gas Supply System","120mm Mortars, 5”/54, M1, M107, M110, M795","","","","","","","0.4","","","","","0.15","","","","","0.023","","","","","","","","0.047","","","","","0.04","","","","","","","","","2014-05","2014-05","2014-05","2015-02","","2015-06","2015-06","","Procurement dollars in the amount of $0.660 million support the procurement and installation of three nitrogen generators and one air compressor for the heat treat and forging operations at Scranton Army Ammunition Plant.  This effort will reduce costs associated with purchasing liquid nitrogen, decrease scrap, and increase productivity in the heat treat and forging operations.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","7-b59b9cda7729dcb9c690c3e8802aa2f8598bef54a7e23b1419a136c3eab1c213","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","2.488","","","","5143917","Modernize Forge Shop Exhaust","120mm Mortars, M1, M107, M110, M795, MK64","","0.3","","","","","1.5","","","","","0.435","","","","","0.074","","","","","","","","0.179","","","","","","","","","","","","","","2014-04","2014-05","2014-05","2015-01","2015-01","2015-01","2015-01","","Procurement dollars in the amount of $2.488 million support effort to modernize the forge shop exhaust at Scranton Army Ammunition Plant.  This effort will reduce the chance of production interruption due to a failed exhaust system, and improve air quality and personnel health.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","8-f508a0ffe16d475e71d5d3df79ed3d4893e451dac1a7e7cd4a082058dc817c7d","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","21.737","","","","","5133726","Purchase of Production Equipment & Intellectual Property (IP)","120mm, 5”/54, M1, M107/M110, M795","","","","","","21.737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-06","2013-06","","","2013-12","2014-06","","Procurement dollars in the amount of $21.737 million support the purchase of production equipment and intellectual property at Scranton Army Ammunition Plant.  This effort will ensure production continuity and operational readiness of ammunition metal parts manufacturing.  The equipment selected for purchase is based on current and future production requirements.  The purchase of equipment and intellectual property will encourage effective competition and reduction of product prices.  This project will also enable the Army to implement strategic modernization efforts to meet future production requirements of metal parts.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","9-56da43772c98de2e262ab5422ef9b466c1442a3c1b3da714db40f46fce492f9a","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","1.283","1.283","","5153454","Replace One Bonderizer System","120mm Mortar, M1, M107, M110, M795, MK64","","","","","","","","0.866","","0.866","","","0.379","","0.379","","","0.038","","0.038","","","","","","","","","","","","","","","","","","","2015-04","2015-02","2015-02","2015-11","","2015-11","2015-12","","FY 2015 Base procurement dollars in the amount of $1.283 million support modernization effort to replace the failing zinc phosphate bonderizer system at Scranton Army Ammunition Plant.  The existing bonderizer has deteriorated and routine repair is no longer economically viable.  This project will improve phosphate coating on large caliber metal parts.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","10-3242fe920dde3a1a4463ba7f197bde795ffe877e8b544f02d96bbfe76d7fb3ad","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","4.726","4.726","","5153896","Modernize M795 & M864 Rough Turn Line","M795, M864","","","","","","","","3.312","","3.312","","","1.286","","1.286","","","0.128","","0.128","","","","","","","","","","","","","","","","","","","2015-04","2015-01","2015-01","2016-03","","2016-03","2016-04","","FY 2015 Base procurement dollars in the amount of $4.726 million support effort to modernize the M795 and M864 rough turn line at Scranton Army Ammunition Plant.  The existing lathes are obsolete, worn and require continuous repairs.  The existing condition of the rough turn line is impacting delivery schedules.  This effort will improve product quality, equipment reliability and avoid production interruption while reducing scrap and maintenance costs.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","11-babe0aa1fad8408eb0ad51a689370f9b0a6e9cbbcd9a5c4aaa51ebf179418c61","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","","4.726","4.726","","5153899","Modernize 120mm Mortar Rough Turn Line","120mm Mortars","","","","","","","","3.312","","3.312","","","1.286","","1.286","","","0.128","","0.128","","","","","","","","","","","","","","","","","","","2015-05","2015-03","2015-03","2016-04","","2016-05","2016-05","","FY 2015 Base procurement dollars in the amount of $4.726 million support modernization of the 120mm mortar rough turn line at Scranton Army Ammunition Plant.  The existing lathes are obsolete, worn and require continuous repairs.  The existing condition of the rough turn line is impacting delivery schedules.  This effort will improve product quality, equipment reliability and avoid production interruption while reducing scrap and maintenance costs.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","12-7d400c29abcf9c9f0878689327a7fcc5b2dfce7eda957c35b0a3c8ec5316c226","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","1.059","","","","5143731","Replace Forge Shop Exterior Wall Siding","120mm Mortar, 5/54, M1, M107, M110, M795","","","","","","","0.6","","","","","0.285","","","","","0.035","","","","","","","","0.073","","","","","0.066","","","","","","","","","2014-05","2014-05","2014-05","2014-10","","","","","Procurement dollars in the amount of $1.059 million support removal and replacement of transite panels from the Forge Shop at Scranton Army Ammunition Plant.  The installation of new panels will eliminate personnel exposure to asbestos.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","13-8de3b0dd6a15efa9fc91edf819516981047e4728cb698f744453e0aa308a71f0","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","","0.36","","","","5143732","Rehabilitate Storm Water Collection & Treatment System","120mm Mortar, 5/54, M1, M107, M110, M795","","","","","","","0.25","","","","","0.072","","","","","0.01","","","","","","","","","","","","","0.028","","","","","","","","","","2014-05","2014-05","2014-10","","2014-10","2014-10","","Procurement dollars in the amount of $0.360 million support a new storm water collection and treatment system at Scranton Army Ammunition Plant (AAP).  The new treatment system will allow Scranton AAP to avoid fines by complying with storm water and non-contact cooling water National Pollutant Discharge Elimination System permit and avoid paying any penalties.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","14-03e248c88e21b5c918fd68fa69087b3c213fea315b38c7a4a95b9f351bc6464c","5-84adffcc5c951320371386de862a8dd93d1392da457cc5dd7d6df32d4c55164a","root.record.FacilityList.ProductionSupportFacility"
"Production Support","3.987","3.812","4.453","4.453","","5XX3046","Engineering in Support of Industrial Facilities","Multiple","","","","","","","","","","","","","","","","","","","","","","","","","","4.453","","4.453","3.987","3.812","","","","","","","","","","","","","","","","","FY 2015 Base procurement dollars in the amount of $4.453 million support the procurement of processing and engineering support efforts, including technical and pre-design analyses of future modernization investments, for Production Base Support program execution.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-7f44fcaca1d3ee138ae6d1c1ffcb8df4e3e9589c9a8cc3efda513eb5806d3155","6-10005eda83e870ee438f1c474b54d5186528ac02a9fa31e663c0119ed62d6d23","root.record.FacilityList.ProductionSupportFacility"
"Production Support","2.93","2.449","1.525","1.525","","5XX5060","Replace Test Instrumentation in Production Acceptance Testing (Ammunition)","Initial Production Acceptance & Product Improvements for Ammunition","","","","","","","","","","","","","","","","","","","","","","","","","","1.525","","1.525","2.93","2.449","","","","","","","","","","","","","","","","","FY 2015 Base procurement dollars in the amount of $1.525 million replaces the analog video scoring and data collection system with a digital capability at the multipurpose impact firing range which is used for testing munitions; procures equipment for high explosive assembly, drilling, and remote capabilities for removing and replacing ammunition components; replaces aging magnetic particle equipment, gages, sensors and transducers for testing cannon tubes; and acquires precision, high-dynamic, rugged sensors to include displacement, pyro-shock/acceleration, Infrared flash detector, and pressure transducers.  The majority of the instrumentation being upgraded or replaced is obsolete and has met or exceeded its economic life.  This instrumentation is required to ensure complete and accurate test data is collected and safety and environmental hazards are minimized.  Benefits of this project include increased test efficiencies and decreased costs and risks to Army Program Managers.","2015-BASE_PROCUREMENT-2015-ARMY_AMMO-PROCUREMENT_JustificationBook_Army_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2015.xml","c4d5510aae3be623d3815177cb4b77718e913b16082d5e476d238e93060d9756","0-6a0fe06f1afbca85ba8cb3a705bd626c9f866eb2586b0c1277592365261d2c2d","7-016440038a9baf9e1596b4653a086b3b16b83698ea63e50f1923bc01682271a3","root.record.FacilityList.ProductionSupportFacility"
