Name_val,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_TotalCost_val,Cost_ToComplete_TotalCost_val,Cost_Total_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"EELV Mission Unique Hardware","32.806","","","0.023","1.32","2.75","0.000","2.75","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","1-85bd604f005478e8c85f41f2ba267748e9ccfd4465e4b3f1152044ac046d6c83","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","8.799","","","0.000","0.865","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","2-7b11d6aa47a81335ee472ecc47d626cce41bb55064198e06ef0367dbf9bb8572","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","1.106","","","0.000","6.037","10.312","0.000","10.312","14.568","21.855","66.634","76.888","28.369","225.769","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cf990b45228bdcd73dcfcc74f66b14152427282024c97dc83fcf3339f9919fa2","0-f4d6e5ac4deda1dc0cff7d5e533612af9416666758017bfe250add461162619b","0-ec8f88c692551da5e14a09bbc7dc8202525ff0b2d40df34cb8366865255b9f84","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","0.000","","","0.000","0.000","147.772","0.000","147.772","0.000","0.000","4.96","13.683","129.13","295.545","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cf990b45228bdcd73dcfcc74f66b14152427282024c97dc83fcf3339f9919fa2","0-0843cd6ed158da87c90ef655c0201f96baa43ef4e480c0bf33eef4e854332e22","1-52c7de429f6f08af020632b8c558887168380bf56227e55034c35a9ad1904376","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","222.616","","","3.615","3.741","3.872","0.000","3.872","4.008","4.148","4.293","4.444","0.000","250.737","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cf990b45228bdcd73dcfcc74f66b14152427282024c97dc83fcf3339f9919fa2","0-993bbe6b435a3f67ed09541b5e1029bd19ad836dd3a3b3bb5eea40193f495528","2-de29c6e565a30f8e5e92a7b830058bd34fc73009af32121dcec36d2f9b8d2b14","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","11.057","","","0.000","0.977","9.086","0.000","9.086","21.471","10.489","6.239","16.617","7.666","83.602","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","cf990b45228bdcd73dcfcc74f66b14152427282024c97dc83fcf3339f9919fa2","1-21772b1e92e6c166519e88d78fb3ec25ce50795f772ac51f207e7fe424f23062","2-de29c6e565a30f8e5e92a7b830058bd34fc73009af32121dcec36d2f9b8d2b14","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 launch support services","58.581","","","0.000","","","","","","","","","0.000","58.581","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","0-f4cd771bfd61929c7273688285cb4413b37436eff40cd2f82e704dd6398b5e0e","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"Integration of AEHF SV 3 with launch vehicle","2.128","","","","","","","","","","","","0.000","2.128","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","1-1d10b85e348427135284aa49cf5ccf7d73843da57b6e7c90acb9090573c05bbd","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 propellant","","","","5.229","","","","","","","","","0.000","5.229","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","2-5a3676dfc8f0be3c9c7f712ab8f53eb81e996bcf312110535bb12221269669b3","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 Spectrum Management Support","","","","","0.032","","","","","","","","0.000","0.032","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","3-64388344cb0653ca185e4ed1c903f483d3e7330ba79fa6eff355ce5a4c9f217d","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 launch support services","","","","","12.8","25.1","","25.1","26.7","50","","","0.000","114.6","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","4-61a1c0efe5f215238e5f89411286275a3905c8d12bb0d9d01fbb4c8eda80c058","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 propellant","","","","","","","","","","4.504","","","0.000","4.504","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","5-5ab223f856b93c8fb2e8305ff2d38d6172b5e67465102cc2da9b0b7fb06795e9","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF 4","","","","","","8.6","","8.6","9.4","10.98","3.7","0.000","0.000","32.68","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","6-94d9033c91f112350fa30a68fad212f1675ef37c414bc0fc70989d626c7cf5af","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Propellent","0.000","","","0.000","0.000","0.000","","0.000","0.000","0.000","4.565","0.000","9.555","14.12","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","0-92e8aeb8b7a94bd52eefd115a7e61ec48456f5a5b01539286f67313a83f0fd4f","1-de113177bce7485bff735228402bc5dcb71b0afae92d7512cb9d732dd891f00e","root.record.ItemExhibitList.P5Item"
"Command and Control System-Consolidated (CCS-C) Launch Support of AEHF 5-6","0.000","","","0.000","0.000","0.000","","0.000","0.000","4.13","11.16","10.5","4","29.79","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","1-87b3e961a82020aa499cbbdbe834596a74c9e86c3ab73cf9b68181cef8fdee4d","1-de113177bce7485bff735228402bc5dcb71b0afae92d7512cb9d732dd891f00e","root.record.ItemExhibitList.P5Item"
"WGS SV 1-5 Checkout & Launch/Launch Readiness","256.711","","","54.316","11.273","","","","","","","","0.000","322.3","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","0-91f96f0f78afadb894b5515fec88183d2a454e4ef6ed6d2bcd1220aee2437a6b","0-5edb4c79ee8ce46b9d1822d92784067c929831fc07b056a2a1f2ddcfa814fa00","root.record.ItemExhibitList.P5Item"
"WGS SV 4-5 Storage Reactivation and Transport","4.022","","","","","","","","","","","","0.000","4.022","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","1-e1b7ed381d2c29e5ad3ea00b1861ee0f6da56c6ab409f1b0271dd55fa6294941","0-5edb4c79ee8ce46b9d1822d92784067c929831fc07b056a2a1f2ddcfa814fa00","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08 Launch Services","0.000","","","0.000","5","5.7","","5.7","3.81","9.083","5.7","5.347","0.000","34.64","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","fa634b730fed67337dcbf550d65f4bdf7a793e69d597c0b413dd971618e23634","0-f8290555023739bc6565ef494a9a4392cf7e7963cd092f766758d4d307a1c1dd","0-e558e4f66c89c67eb328db6051baad6f50c978715cb43fc86968c343b8b9b684","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+ Launch Services","0.000","","","","","","","","","22.823","44.783","20.62","171.2","259.426","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","fa634b730fed67337dcbf550d65f4bdf7a793e69d597c0b413dd971618e23634","0-343164f78c939fa8b1d70c7d1ff517b090732cd47fa2194f20e3903b6e7acd22","1-3c6a684c5a9a3019d1a6863d3a199c7506b16d3ff1761127581806171232d95a","root.record.ItemExhibitList.P5Item"
"Integration & Checkout","1.522","","","1.88","0.4","0.8","","0.8","","","","","0.000","4.602","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","0-bf1c28a55955c6d51571f0ccc983e19f1eb5bfd8e48a739fade164fb892b8e5c","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"Launch Services Planning","162.83","","","41.366","9.415","27.602","","27.602","17.006","8.642","","","0.000","266.861","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","1-cd11f64f40373445e05ad78aba553b2baf974a23d73d4c4496661a7f3a5fa12b","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"Propellants","3.759","","","2","1.1","2.2","","2.2","","","","","0.000","9.059","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","2-a0106ce12339f2f1880456ea60d95bc5e9945ce5525fa6647f65bfdcaf155d3a","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"Storage Reactivation & Transport","3.902","","","9.95","0.6","5.2","","5.2","1","","","","0.000","20.652","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","3-bcd75b7551c25d4bf80324c6ab96758a3609b13b22d5411f5a57b1153a8302ff","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"VAFB Launch Base Support","15.93","","","0.377","0.246","1.753","","1.753","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","0-fa8af68ecd94009039c4380159601aeea8229295013048a0bf7fae06a9df5540","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"EELV Mission Unique Hardware","24.996","","","1.32","2.75","1.5","","1.5","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","1-d10416e4bc39a0ba4d6ebf691ef0f8738950a6da89b6156d6ab6cf1822ac4900","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"NGC Launch & Early Orbit Spt--CLIN 3","6.7","","","0.865","0.000","0.000","","0.000","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","2-5b80c7280fec74765f710288eeaca0d6408277c0c7742fd1c2b871bd04d5cb4b","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Launch Ops & Checkout","1.106","","","0.394","4.221","14.401","","14.401","22.428","66.728","76.888","28.369","0.000","214.535","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","0-df89637fa0d1f8c94f6958fd576ef21b083d891d05ba7c35e707b388786531ee","0-e8f40d2b703fcf40fb75174897cabe98d86af0a63a9022c65b277be59f24ff3c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Launch Ops & Checkout","0.000","0.000","0","","173.791","","","","","","1.247","172.544","0.000","347.582","0.000","0","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","0-165e9d24a309d658499fb431f3fcfbe85fd9a2c6fd4a3d3d1ea290a1e6a469a0","1-5e4fc6c0b64592c27f8668b6a53f30aee0c6eb6d8fbe07530c28910312ec181a","root.record.ItemExhibitList.P5Item"
"FY17 Incremental Funding","","","","","-1.247","","","","","","","","0.000","-1.247","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","1-da1579e018ca0d78d3f29eeeec691a058e6324cb9e00054650b796aefb308f16","1-5e4fc6c0b64592c27f8668b6a53f30aee0c6eb6d8fbe07530c28910312ec181a","root.record.ItemExhibitList.P5Item"
"FY18 Incremental Funding","","","","","-172.544","","","","","","","","0.000","-172.544","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","2-f369fc8c9519d0fd6a212331ffe036435e5ae96fefe30917f94f11c0eb5909c7","1-5e4fc6c0b64592c27f8668b6a53f30aee0c6eb6d8fbe07530c28910312ec181a","root.record.ItemExhibitList.P5Item"
"HEO Host Accommodation","227.75","","","2.702","3.872","4.008","","4.008","4.148","4.293","4.444","","0.000","251.217","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","0-9085156c28bcb9fe34b41e9a3b06dd4d28759060e2be4098033e62d8e8384202","2-a7f6f4c99edd35f0542226c4b19fede6922012dfbbafaa2c649a9400ef44b285","root.record.ItemExhibitList.P5Item"
"HEO 3-4 Launch Ops & Checkout","11.057","","","0.000","9.186","19.171","","19.171","10.389","6.239","16.617","7.666","0.000","80.325","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","1-09bf9d69c62978574ea644a0ecd7f68215e181da9d0a1ff1afb25728056881a4","2-a7f6f4c99edd35f0542226c4b19fede6922012dfbbafaa2c649a9400ef44b285","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 launch support services","58.581","","","0.000","","","","","","","","","0.000","58.581","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","0-5b2694178a571db0f03d9fef44fed6e01bf9827923147ab74ccb2d3328726130","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
"Integration of AEHF SV 3 with launch vehicle","2.128","","","","","","","","","","","","0.000","2.128","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","1-22ae8c3572cbb07b5c7ab848df54fe1ab54fad8f0022a2364cbf18554b8dc7c5","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 propellant","","","","5.229","","","","","","","","","0.000","5.229","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","2-e975cd206c352a2c16597d17ef0e3ef10835d65c0ffe8d627b823071d57746a9","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
"AEHF SV 3 Spectrum Management Support","","","","","0.032","","","","","","","","0.000","0.032","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","3-fb7bbeca0c51914268e74350e46b687b0f3e35e20ef414f3b4751ca6a78b0620","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 launch support services","","","","","12.8","25.1","","25.1","26.7","50","","","0.000","114.6","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","4-f21c76d31e4b5ee3f551f8f727133373176e070e4a6d36eee95707ba37a8f3f9","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
"AEHF SV 4 propellant","","","","","","","","","","4.504","","","0.000","4.504","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","5-a6e69a921a6a6e6b45825009dc1d18fa14f40cd6856dcd9ad928129a016ef79f","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
"Command & Control System - Consolidated (CCS-C) Launch Support AEHF 4","","","","","","8.6","","8.6","9.4","10.98","3.7","0.000","0.000","32.68","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","aefde42a3d513aab1b1cd929edf34b95812479f26277e14f726ca0405232b99a","6-69836cc76b1066e639929c1cc6fb3c02050e2cc7b5fbce79a0d78a7bd2d43fa2","0-33ed720762d1b2010b618f8be702d713eb2a9f8f4d0047f0c2361937eef83903","root.record.ItemExhibitList.P5Item"
