Name_val,IdCode_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_TotalCost_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_AllPriorYears_val,Cost_Quantity_Total_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_ToComplete_val,Cost_TotalCost_AllPriorYears_val,Cost_TotalCost_ToComplete_val,Cost_TotalCost_Total_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,Cost_UnitCost_AllPriorYears_val,Cost_UnitCost_Total_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,Cost_UnitCost_BudgetYearTwo_val,Cost_UnitCost_BudgetYearThree_val,Cost_UnitCost_BudgetYearFour_val,Cost_UnitCost_BudgetYearFive_val,Cost_UnitCost_ToComplete_val,ManufacturerList_Manufacturer_Name_val,ManufacturerList_Manufacturer_Location_val,ManufacturerList_Manufacturer_MinimumSustainingRate_val,ManufacturerList_Manufacturer_MaximumProductionRate_val,ManufacturerList_Manufacturer_Rate185_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,AllPriorYearsDeliveries_val,@PARENTROWID,@PARENT
"NGC Total Award Fee","A","","","52.775","1.892","","","1.169","","","0.378","","","0.000","0.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","5-5ee5c57e50869ef8e6798b6d4815c23b1eb77f49818e1df7f7a80acfe7d92dc2","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"Sensor Lab Support","A","","","104.31","0.792","","","2.505","","","4.962","","","0.000","4.962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","a65a1f1ae54a5d345d80f3ca17e9ada935dce4641675e4c421ede8399b22f7ec","6-7382dd93ef861a54b894e401553ce2e3550da05c038cf5b9a40df52ac65084e2","","0-91e5e2b937938bdcb6ac7b84ead185333772f2cb76a98be30ac6449edc5d3c0b","root.record.ItemExhibitList.P5Item"
"AEHF Space Vehicle (SV) 3","A","832.268","1","832.268","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","832.268","1","832.268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","4","82","86","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","0-2a9eeb20f91e4b7b0e330bbcba14ca64a397936c9ef6ab354a720dd548a2f036","0","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 4","A","1693.304","1","1693.304","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","1693.304","1","1693.304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","3","87","90","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","1-26b8f2f80280506f6b51b353b07205765d7c21967fd903df983e05545ad48311","0","0-a76954005f74b8a2c5fd028a44b7cce67ad95fe3af20a948b9d2aa325305c446","root.record.ItemExhibitList.P5Item"
"AEHF SV 5-6 Block Buy","A","","","0.000","2590.282","1295.141","2","469.9","","","290.85","","","","290.85","","","210.41","","","260.47","","","629.258","","","0.000","","","0.000","0","0.000","2225.585","2","4451.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","0-e0544582d947ca1155f9a6fa63b460e9ffbe7bdf327783c0fed54df33969c9a8","","1-de113177bce7485bff735228402bc5dcb71b0afae92d7512cb9d732dd891f00e","root.record.ItemExhibitList.P5Item"
"AEHF Follow-On","A","","","0.000","0.000","","","0.000","","","0.000","","","","0.000","","","0.000","","","0.000","","","0.000","","","1221.6","610.8","2","0.000","0","3028.8","2125.2","2","4250.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","8548c549d66d8c4f97fa68cbb66128468b0719a6b9dd56894ddd3e6a1cef9b0b","0-cbeeeca5a303a781b033268bac149ad6b5a2fce2f5deca8191f30835674270a3","","2-3c2cddfc23c7d1cb42a09d009cf7c17f908a26c4b4dc7b2a8c7df78a53e3171b","root.record.ItemExhibitList.P5Item"
"WGS SV 1-3","A","177.891","3","533.673","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","177.891","3","533.673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","0-17b0330c11fe0ce605abe6c8ce8ab3365dffc9ba192ffacb249f94fc17f70141","","0-5edb4c79ee8ce46b9d1822d92784067c929831fc07b056a2a1f2ddcfa814fa00","root.record.ItemExhibitList.P5Item"
"WGS SV 4","A","376.463","1","376.463","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","376.463","1","376.463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","1-d79c56ffec4857ea919150013e9e85ff91ca5b458e1dee86480f590d41d5e03e","0","0-5edb4c79ee8ce46b9d1822d92784067c929831fc07b056a2a1f2ddcfa814fa00","root.record.ItemExhibitList.P5Item"
"WGS SV 5","A","338.319","1","338.319","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","338.319","1","338.319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","2-3e240380a8bb533ab9b1c8499e645d0054392823ed62a8fbe188ad50a53af012","0","0-5edb4c79ee8ce46b9d1822d92784067c929831fc07b056a2a1f2ddcfa814fa00","root.record.ItemExhibitList.P5Item"
"WGS SV 7","A","443.532","1","443.532","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","443.532","1","443.532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","0-f811a8039cc3dc362c2243dba60100db18bc918520055395cfea5f5bb3ad5cb5","0","1-13c5d3dc7502e43ea42cd9fa40d003920ac30cbe28f937d9024cc5836d036c72","root.record.ItemExhibitList.P5Item"
"WGS SV 8","A","","","","353.925","353.925","1","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","353.925","1","353.925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","1-94cb75a42a3b16d9691d69a762b9b2d6913666df753af3c1f25fc8f75fcf3d9a","","1-13c5d3dc7502e43ea42cd9fa40d003920ac30cbe28f937d9024cc5836d036c72","root.record.ItemExhibitList.P5Item"
"WGS SV 10 (Congressional add)","A","","","","338.7","338.7","1","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","338.7","1","338.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","6f7004931a2c572e5c1ca34b2a6a0b59973b39b72e8056443b59ec9d80c3d834","2-6afebc11d5f305d876bf849d39ca098a91281990e734f833468f41769aa66832","","1-13c5d3dc7502e43ea42cd9fa40d003920ac30cbe28f937d9024cc5836d036c72","root.record.ItemExhibitList.P5Item"
"GPS III SV 03-08","A","","","0.000","492.164","246.082","2","463.143","231.572","2","447.648","223.824","2","","447.648","223.824","2","","","","","","","","","","","","","0.000","0","0.000","233.826","6","1402.955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Newtown, PA","0.00","0.00","0.00","3","3","49","52","3","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","fa634b730fed67337dcbf550d65f4bdf7a793e69d597c0b413dd971618e23634","0-d295879c900e8330f02e8fe2beb92c21577b54f4be587d24ecc1b55325070850","","0-e558e4f66c89c67eb328db6051baad6f50c978715cb43fc86968c343b8b9b684","root.record.ItemExhibitList.P5Item"
"GPS III SV 09+","A","","","0.000","","","","","","","","","","","","","","446.775","223.388","2","562.196","281.098","2","783.078","261.026","3","816.322","272.107","3","257.683","14","3607.563","258.997","24","6215.934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Newtown, PA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","fa634b730fed67337dcbf550d65f4bdf7a793e69d597c0b413dd971618e23634","0-f09f791d838b7fbc8e396b0208e48638372e7f3e593f0142b8873f2908bab0aa","","1-3c6a684c5a9a3019d1a6863d3a199c7506b16d3ff1761127581806171232d95a","root.record.ItemExhibitList.P5Item"
"GPS Block IIA Space Vehicle","A","31.063","28","869.768","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","31.063","28","869.768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","0-a7b5a5c4346dd9a1e39428edea5b2d7e1bc681a2669057b70e3dde21d65f63c1","","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"GPS Block IIR Space Vehicle","A","51.826","21","1088.345","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","51.826","21","1088.345","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","1-970e179f5359debbfa4d2a4d5050662a4256f973553ff13818a3fcaa05f6869c","","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"GPS Block IIF Space Vehicle","A","82.061","12","984.726","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","82.061","12","984.726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Boeing","El Segundo, CA","0.00","0.00","0.00","1","1","89","90","1","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","de667dd24fa8e9d41bf98a0679eeff5e28e6c223e404da70f76e460c19b0beef","2-5bdaad4a07cb4f6d20efd187d55b98029684c83e480f9b90a7d537b08c9f779d","0","0-a20efcdf3b11a78235fbdf75678190b0d7cce3bf2b714e074da5f740fe78cfc6","root.record.ItemExhibitList.P5Item"
"Spacecraft Integration and Test--CLIN 1","A","109.022","9","981.2","38.413","","","41.987","","","43.836","","","","43.836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","0-93e3b5e418db59adf592a94525dc0192ad7d6b9d76388202bccd8b64385563dc","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"LM Spacecraft Integ & Test--Total Awd Fee","A","","","111.054","7.815","","","3.844","","","3.918","","","","3.918","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","1-8c7b16e07ff406f348cc2a77728f2a68c4484d26dcb10ce80c44378c4bcd8edd","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"Independent Verif & Validation Tech Spt","A","","","29.81","1.394","","","0.000","","","0.000","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","2-59b343c272b66815581154a736d7b065505cb106486a49630f27c2b60c090001","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"Consolidated Sensor Support and Services--CLIN 1","A","","","382.21","27.973","","","16.577","","","17.857","","","","17.857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","3-77d803e465aa782706fe1e0c8bf318909ddc07bd7503d31c34554393ea039835","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"NGC Hardware Sensor Spt--CLIN 2","A","","","120.325","1.32","","","0.33","","","0.046","","","","0.046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","4-f19cd3af4af9917cb95c14eabe4f144d43a9041e5f6ed56f663ec1227fe73943","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"NGC Total Award Fee","A","","","41.624","1.169","","","0.378","","","0.89","","","","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","5-020441a4cdbb6aff5ecd0d2f5e6a88da69b397f8aba37db4d793284c548d57f8","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"Sensor Lab Support","A","","","81.025","2.505","","","4.962","","","2.974","","","","2.974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","39ca58bbb356607ed4d71e68bd068008af93a2336ba52e66a252be8037ef5179","6-c0466e23b38ecf9b670396f55758d5ab42243245209813bdad73c34471480888","","0-84723e36a03e83e130f35a863dbf1fb5048eaf90b1f7356fd79021f953e8f993","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Hardware","A","433.399","2","866.797","17.88","","","6.198","","","32.126","","","","32.126","","","35.368","","","15.458","","","","","","","","","0.000","0","0.000","486.914","2","973.827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","0-2ab89d48a52a221c8f7f6288089c7cc68e978d8bdd75e6e06e1747007ac493cf","0","0-e8f40d2b703fcf40fb75174897cabe98d86af0a63a9022c65b277be59f24ff3c","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Integration and Assembly","A","","","1055.093","24.518","","","8.498","","","44.047","","","","44.047","","","48.49","","","15.541","","","","","","","","","","","0.000","","","1196.187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","1-e571249f267b98a103b6a177e7423e3ebc788d41e5c83e345fd012659f81c36f","","0-e8f40d2b703fcf40fb75174897cabe98d86af0a63a9022c65b277be59f24ff3c","root.record.ItemExhibitList.P5Item"
"GEO 3-4 Systems Engineering & Integration (SE&I)","A","","","25.248","","","","","","","5.901","","","","5.901","","","5.592","","","9.569","","","","","","","","","","","0.000","","","46.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","2-0f14d97ae0de551d509472a9f36f2062cf0054aab0e7891403ed1b2e1a4caaa8","","0-e8f40d2b703fcf40fb75174897cabe98d86af0a63a9022c65b277be59f24ff3c","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Hardware","A","0.000","0","0.000","0.000","","","1484.964","742.482","2","341.371","","","","341.371","","","313.06","","","245.294","","","77.889","","","42.355","","","0.000","0","0.000","1252.467","2","2504.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","4","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","0-21fed9142689b0bd7427403290fc828b4601a9dc683f4815ffc366648620395f","0","1-5e4fc6c0b64592c27f8668b6a53f30aee0c6eb6d8fbe07530c28910312ec181a","root.record.ItemExhibitList.P5Item"
"GEO 5-6 Integration and Assembly","A","0.000","0","0.000","","","","1358.188","","","37.93","","","","37.93","","","55.246","","","105.133","","","312.807","","","804.74","","","","","0.000","0.000","0","2674.044","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","1-6c0c8d9ccb31ca98f2d8d709a6b310b5d1b732d3111284a75a926b1f6c1d2271","","1-5e4fc6c0b64592c27f8668b6a53f30aee0c6eb6d8fbe07530c28910312ec181a","root.record.ItemExhibitList.P5Item"
"FY14 Incremental Funding","A","0.000","0","0.000","","","","-379.301","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","-379.301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","32b7109bb8d79ef08088f8211f19de97cdf66e04e0163444c25731cb5ff5f7c7","2-0eea8565d495a0a679b6eed84606f2949be8039dbc551d696efd00479c319259","","1-5e4fc6c0b64592c27f8668b6a53f30aee0c6eb6d8fbe07530c28910312ec181a","root.record.ItemExhibitList.P5Item"
